X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
488500.64,2126825.08,1034.85,0.0,270.0,1.0,POINT (488500.64 2126825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
488400.18,2126825.08,1834.85,0.0,270.0,1.0,POINT (488400.18 2126825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
492027.11,2126825.08,1834.85,0.0,270.0,1.0,POINT (492027.11 2126825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
489912.46,2126825.08,1534.85,0.0,270.0,1.0,POINT (489912.46 2126825.08),0.0,Neogeno-Piro,Neogene_pyro,S_7
489875.66,2126825.08,1834.85,0.0,270.0,1.0,POINT (489875.66 2126825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
492058.68,2126825.08,1534.85,0.0,270.0,1.0,POINT (492058.68 2126825.08),0.0,Neogeno-Piro,Neogene_pyro,S_7
491208.05,2126825.08,1534.85,0.0,270.0,1.0,POINT (491208.05 2126825.08),0.0,Neogeno-Piro,Neogene_pyro,S_7
491265.92,2126825.08,1834.85,0.0,270.0,1.0,POINT (491265.92 2126825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
491294.17,2126825.08,644.85,0.0,270.0,1.0,POINT (491294.17 2126825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
491998.85,2126825.08,1034.85,0.0,270.0,1.0,POINT (491998.85 2126825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
492013.9,2126825.08,-1000.0,0.0,270.0,1.0,POINT (492013.9 2126825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_7
489601.96,2131825.08,-1000.0,0.0,90.0,1.0,POINT (489601.96 2131825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_6
490653.91,2131825.08,824.55,0.37,270.0,1.0,POINT (490653.91 2131825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_6
490667.89,2131825.08,1375.0,0.0,270.0,1.0,POINT (490667.89 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
490444.87,2131825.08,823.21,0.37,270.0,1.0,POINT (490444.87 2131825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_6
489479.48,2131825.08,1315.2,0.0,270.0,1.0,POINT (489479.48 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
490444.46,2131825.08,1829.0,0.09,270.0,1.0,POINT (490444.46 2131825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_6
490673.89,2131825.08,2090.38,0.28,90.0,1.0,POINT (490673.89 2131825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_6
490777.42,2131825.08,1545.0,0.0,270.0,1.0,POINT (490777.42 2131825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_6
490506.19,2131825.08,125.51,0.19,90.0,1.0,POINT (490506.19 2131825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_6
490126.67,2131825.08,1315.2,0.0,270.0,1.0,POINT (490126.67 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
491295.57,2131825.08,1545.0,0.0,270.0,1.0,POINT (491295.57 2131825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_6
491043.35,2131825.08,2093.25,5.21,90.0,1.0,POINT (491043.35 2131825.08),0.0,Cuaternario-Lac,Quaternary_Lac,S_6
490943.17,2131825.08,1375.0,0.0,270.0,1.0,POINT (490943.17 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
490848.3,2131825.08,2223.09,66.0,253.96,1.0,POINT (490848.3 2131825.08),0.0,MxF,MxF,S_6
489105.27,2131825.08,-1000.0,0.0,270.0,1.0,POINT (489105.27 2131825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_6
489118.16,2131825.08,2098.04,0.28,90.0,1.0,POINT (489118.16 2131825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_6
490908.54,2131825.08,2105.55,5.21,90.0,1.0,POINT (490908.54 2131825.08),0.0,Cuaternario-Lac,Quaternary_Lac,S_6
490887.39,2131825.08,2045.0,0.0,270.0,1.0,POINT (490887.39 2131825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_6
489568.78,2131825.08,57.2,0.0,270.0,1.0,POINT (489568.78 2131825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_6
490166.33,2131825.08,126.64,0.19,90.0,1.0,POINT (490166.33 2131825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_6
489757.72,2131825.08,1827.93,0.09,270.0,1.0,POINT (489757.72 2131825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_6
488533.23,2136825.08,2094.81,0.0,270.0,1.0,POINT (488533.23 2136825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_5
491742.12,2131825.08,1375.0,0.0,270.0,1.0,POINT (491742.12 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
489102.12,2136825.08,117.26,0.0,270.0,1.0,POINT (489102.12 2136825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_5
489303.0,2136825.08,1339.29,1.33,90.0,1.0,POINT (489303 2136825.08),0.0,Neogeno-Piro,Neogene_pyro,S_5
489334.25,2136825.08,2115.18,0.37,90.0,1.0,POINT (489334.25 2136825.08),0.0,Cuaternario-Lac,Quaternary_Lac,S_5
489401.45,2136825.08,1337.01,1.33,90.0,1.0,POINT (489401.45 2136825.08),0.0,Neogeno-Piro,Neogene_pyro,S_5
489488.63,2136825.08,1774.86,1.24,90.0,1.0,POINT (489488.63 2136825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_5
489315.27,2136825.08,2094.81,0.0,270.0,1.0,POINT (489315.27 2136825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_5
489603.33,2136825.08,2094.81,0.0,270.0,1.0,POINT (489603.33 2136825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_5
489533.74,2136825.08,2219.7,66.0,267.84,1.0,POINT (489533.74 2136825.08),0.0,MxF,MxF,S_5
489616.94,2136825.08,2114.3,0.21,270.0,1.0,POINT (489616.94 2136825.08),0.0,Cuaternario-Lac,Quaternary_Lac,S_5
496283.44,2126825.08,1534.85,0.0,270.0,1.0,POINT (496283.44 2126825.08),0.0,Neogeno-Piro,Neogene_pyro,S_7
497524.83,2126976.57,1034.85,0.0,14.1,1.0,POINT (497524.83 2126976.57),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_14
497582.25,2127205.11,1534.85,0.0,14.1,1.0,POINT (497582.25 2127205.11),0.0,Neogeno-Piro,Neogene_pyro,S_14
497605.76,2127298.67,1834.85,0.0,14.1,1.0,POINT (497605.76 2127298.67),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_14
497616.46,2127341.26,644.85,0.0,14.1,1.0,POINT (497616.46 2127341.26),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_14
497649.55,2127472.98,-1300.0,0.0,14.1,1.0,POINT (497649.55 2127472.98),0.0,Cretacico-Calizas,Cretaceous_limestone,S_14
497224.3,2131825.08,1375.0,0.0,270.0,1.0,POINT (497224.3 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
497304.55,2131825.08,1545.0,0.0,270.0,1.0,POINT (497304.55 2131825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_6
492213.86,2126825.08,644.85,0.0,270.0,1.0,POINT (492213.86 2126825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
492285.81,2126825.08,2402.0,66.0,253.96,1.0,POINT (492285.81 2126825.08),,,MxF,S_7
493529.16,2126825.08,1834.85,0.0,270.0,1.0,POINT (493529.16 2126825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
493825.31,2126825.08,1534.85,0.0,270.0,1.0,POINT (493825.31 2126825.08),0.0,Neogeno-Piro,Neogene_pyro,S_7
493245.87,2131825.08,2076.07,0.15,90.0,1.0,POINT (493245.87 2131825.08),0.0,Cuaternario-Lac,Quaternary_Lac,S_6
493109.16,2131825.08,1375.0,0.0,270.0,1.0,POINT (493109.16 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
493428.85,2131825.08,1375.0,0.0,270.0,1.0,POINT (493428.85 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
492316.13,2131825.08,2045.0,0.0,270.0,1.0,POINT (492316.13 2131825.08),0.0,Cuaternario-Alv,Quaternary_alluvial,S_6
492728.82,2131825.08,1375.0,0.0,270.0,1.0,POINT (492728.82 2131825.08),0.0,Neogeno-Piro,Neogene_pyro,S_6
492707.92,2131825.08,1545.0,0.0,270.0,1.0,POINT (492707.92 2131825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_6
495699.45,2126825.08,-1000.0,0.0,270.0,1.0,POINT (495699.45 2126825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_7
495122.3,2126825.08,644.85,0.0,270.0,1.0,POINT (495122.3 2126825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
