Id,Unidad,formation,name,geometry,X,Y,Z
0.0,XiF,XiF,S_14,POINT (497357.22576662875 2126309.458923679),497357.23,2126309.46,2543.07
,,TxF,S_7,POINT (509285.475735787 2126825.077357033),509285.48,2126825.08,2244.0
,,ATF,S_7,POINT (510652.4471481159 2126825.0773572633),510652.45,2126825.08,2244.0
,,F8,S_7,POINT (511728.4637752556 2126825.077357445),511728.46,2126825.08,2246.0
0.0,F8,F8,S_14,POINT (497954.426326481 2128686.435409427),497954.43,2128686.44,2262.4
,,TxF,S_6,POINT (511758.00320851884 2131825.0773574496),511758.0,2131825.08,2244.0
,,ATF,S_6,POINT (514938.16143445065 2131825.0773579855),514938.16,2131825.08,2249.0
0.0,F7,F7,S_13,POINT (497493.2009302638 2133307.3647125643),497493.2,2133307.36,2230.47
0.0,F4,F4,S_13,POINT (497028.989766334 2135561.5426526642),497028.99,2135561.54,2347.9
0.0,F4,F4,S_5,POINT (500836.7743448822 2136825.0773556093),500836.77,2136825.08,2559.31
,,XiF,V_5,POINT (529860.8766095376 2125881.6489909487),529860.88,2125881.65,3300.0
,,HF,V_5,POINT (529860.8766051475 2126072.2155147432),529860.88,2126072.22,3237.0
,,HF,S_7,POINT (530483.1843775549 2126825.077360605),530483.18,2126825.08,3348.0
,,HF,S_6,POINT (534616.1323806617 2131825.0773613015),534616.13,2131825.08,3300.0
,,F7,V_5,POINT (529860.8763632459 2136572.577925874),529860.88,2136572.58,3262.0
,,F7,S_5,POINT (532363.86952292 2136825.077360922),532363.87,2136825.08,3200.0
,,HF,S_5,POINT (538749.0803837685 2136825.077361998),538749.08,2136825.08,2960.0
,,ATF,S_4,POINT (523509.5900071202 2141825.07735943),523509.59,2141825.08,2927.0
,,ATF,S_3,POINT (525987.8547263987 2144716.3861985872),525987.85,2144716.39,3500.0
,,ATF,S_2,POINT (527632.2253823665 2146634.818630549),527632.23,2146634.82,3750.0
,,TxF,S_5,POINT (514230.53068125073 2136825.0773578663),514230.53,2136825.08,2271.0
,,ATF,S_5,POINT (519223.87572078547 2136825.077358708),519223.88,2136825.08,2421.0
0.0,F3,F3,S_4,POINT (496182.6243440374 2141825.077354825),496182.62,2141825.08,2228.0
0.0,F4,F4,S_4,POINT (515321.1843440435 2141825.0773580503),515321.18,2141825.08,2384.41
,,TxF,S_4,POINT (516703.0581539826 2141825.077358283),516703.06,2141825.08,2415.0
0.0,F4,F4,S_3,POINT (518891.2975525898 2144933.4535762905),518891.3,2144933.45,2540.84
,,TxF,S_3,POINT (518249.86937859526 2144953.0733902794),518249.87,2144953.07,2510.0
0.0,F3,F3,S_3,POINT (503383.3749215987 2145407.8052959605),503383.37,2145407.81,2343.68
,,TxF,S_2,POINT (519208.91089943534 2146892.4684657576),519208.91,2146892.47,2600.0
0.0,F3,F3,S_2,POINT (507111.06638327474 2147262.513731464),507111.07,2147262.51,2200.0
0.0,F4,F4,S_2,POINT (521017.7722948583 2146837.139552016),521017.77,2146837.14,2754.88
,,ATF,V_5,POINT (529860.876071538 2149234.911101248),529860.88,2149234.91,3777.0
,,TxF,S_1,POINT (521648.1130994464 2151825.077359116),521648.11,2151825.08,2657.0
,,F4,S_1,POINT (526806.3302443346 2151825.0773599856),526806.33,2151825.08,3207.0
,,ATF,S_1,POINT (532081.0185797898 2151825.0773608745),532081.02,2151825.08,3528.0
0.0,ATF,ATF,N_14,POINT (537866.6815502858 2157500.7547619985),537866.68,2157500.75,2943.06
,,F4,N_14,POINT (533324.9300329611 2157500.7547621527),533324.93,2157500.75,3047.0
,,F3,N_14,POINT (527688.4213765698 2157500.7547623436),527688.42,2157500.75,2956.0
0.0,TxF,TxF,N_14,POINT (524436.0015502861 2157500.754762454),524436.0,2157500.75,2618.84
0.0,F2,F2,S_2,POINT (498573.6992620288 2147523.652174812),498573.7,2147523.65,2213.19
