Id,formation,X,Y,Z,geometry
0.0,Neogene_pyro,490664.87,2126825.08,1534.85,POINT (490664.8681425858 2126825.077353895)
0.0,Paleogene_Volcanic,490714.09,2126825.08,644.85,POINT (490714.09441327635 2126825.0773539036)
0.0,Quaternary_volcanic,490780.62,2126825.08,1834.85,POINT (490780.62358242605 2126825.0773539147)
0.0,Cretaceous_limestone,491128.13,2126825.08,-1000.0,POINT (491128.1282493246 2126825.0773539734)
0.0,Paleogene_Volcanic,492553.46,2126825.08,644.85,POINT (492553.46029552 2126825.0773542137)
0.0,Neogene_pyro,492570.52,2126825.08,1534.85,POINT (492570.5162763813 2126825.0773542165)
0.0,Cretaceous_limestone,491128.13,2126825.08,-1000.0,POINT (491128.1282493246 2126825.0773539734)
0.0,Neogene_Volcanic,491526.33,2126825.08,1034.85,POINT (491526.32696238876 2126825.0773540405)
0.0,Neogene_Volcanic,491526.33,2126825.08,1034.85,POINT (491526.32696238876 2126825.0773540405)
0.0,Quaternary_volcanic,491751.22,2126825.08,1834.85,POINT (491751.2232455147 2126825.077354078)
0.0,Neogene_pyro,491751.22,2126825.08,1534.85,POINT (491751.2232455147 2126825.077354078)
0.0,Neogene_pyro,491751.22,2126825.08,1534.85,POINT (491751.2232455147 2126825.077354078)
0.0,Quaternary_volcanic,491751.22,2126825.08,1834.85,POINT (491751.2232455147 2126825.077354078)
0.0,Paleogene_Volcanic,491874.25,2126825.08,644.85,POINT (491874.25474157766 2126825.077354099)
0.0,Paleogene_Volcanic,491874.25,2126825.08,644.85,POINT (491874.25474157766 2126825.077354099)
,MxF,492285.81,2126825.08,2402.0,POINT (492285.80927016266 2126825.0773541685)
0.0,Quaternary_volcanic,486646.5,2126825.08,1834.85,POINT (486646.5007308494 2126825.077353218)
0.0,Quaternary_volcanic,487829.67,2126825.08,1834.85,POINT (487829.67416237626 2126825.0773534174)
0.0,Quaternary_volcanic,488970.69,2126825.08,1834.85,POINT (488970.69206941087 2126825.0773536097)
0.0,Neogene_pyro,489160.05,2126825.08,1534.85,POINT (489160.0474246066 2126825.077353642)
,Quaternary_Lac,489992.00629999954,2128059.7075,2246.0,POINT (489992.00629999954 2128059.7075)
,Quaternary_Lac,487618.5376000004,2128888.8895,2245.0,POINT (487618.5376000004 2128888.8895)
0.0,Neogene_pyro,486650.12,2131825.08,1315.2,POINT (486650.1209378828 2131825.0773532186)
0.0,Quaternary_alluvial,487018.05,2131825.08,2108.39,POINT (487018.04990502715 2131825.0773532805)
0.0,Quaternary_alluvial,487564.61,2131825.08,2105.7,POINT (487564.6067328815 2131825.0773533727)
0.0,Paleogene_Volcanic,488965.07,2131825.08,-1000.0,POINT (488965.0669779151 2131825.077353609)
0.0,Quaternary_volcanic,494550.94,2126825.08,1834.85,POINT (494550.94362306927 2126825.07735455)
0.0,Neogene_pyro,495080.11,2126825.08,1534.85,POINT (495080.1113480698 2126825.0773546393)
0.0,Cretaceous_limestone,497256.51,2125908.6,-1300.0,POINT (497256.51252067817 2125908.6002615783)
0.0,Paleogene_Volcanic,497256.99,2125910.48,525.79,POINT (497256.9850791739 2125910.481137967)
0.0,Neogene_pyro,497275.55,2125984.38,1415.79,POINT (497275.5528306374 2125984.3844655748)
0.0,Neogene_Volcanic,497277.1,2125990.54,915.79,POINT (497277.10014325933 2125990.543076209)
0.0,Quaternary_volcanic,497281.64,2126008.63,1715.79,POINT (497281.6440846592 2126008.6288627703)
0.0,Paleogene_Volcanic,497292.69,2126052.61,525.79,POINT (497292.69392066076 2126052.609398143)
0.0,Neogene_Volcanic,497300.44,2126083.45,915.79,POINT (497300.4433242368 2126083.4535589106)
0.0,Cretaceous_limestone,497305.31,2126102.83,-1300.0,POINT (497305.3108941073 2126102.8274508705)
,Quaternary_alluvial,500450.735397517,2124584.637426761,2288.0,POINT (500450.735397517 2124584.637426761)
,Quaternary_alluvial,500548.4002,2126217.1532000005,2281.0,POINT (500548.4002 2126217.1532000005)
0.0,Quaternary_alluvial,499963.26,2126825.08,2281.51,POINT (499963.2643465768 2126825.077355462)
0.0,Quaternary_alluvial,500240.93,2126825.08,2037.11,POINT (500240.927595194 2126825.0773555087)
0.0,Quaternary_volcanic,500864.45,2126825.08,1834.85,POINT (500864.44646104384 2126825.077355614)
0.0,Neogene_pyro,500873.17,2126825.08,1534.85,POINT (500873.1673912849 2126825.0773556153)
0.0,Neogene_Volcanic,500887.7,2126825.08,1034.85,POINT (500887.7022749964 2126825.077355618)
0.0,Paleogene_Volcanic,500899.04,2126825.08,644.85,POINT (500899.0394843105 2126825.07735562)
0.0,Paleogene_Volcanic,501448.56,2126825.08,622.12,POINT (501448.5611500475 2126825.077355712)
