X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
457999.44,2124660.11,2472.67,11.0,180.0,1.0,POINT (457999.44198259356 2124660.1102469414),0.0,Cuaternario-Volcanico,Quaternary_volcanic,V_2
457999.44,2125363.15,2595.23,7.52,180.0,1.0,POINT (457999.4419825467 2125363.154376804),0.0,Cuaternario-Volcanico,Quaternary_volcanic,V_2
457999.44,2125713.73,2641.53,7.52,180.0,1.0,POINT (457999.44198252336 2125713.727994618),0.0,Cuaternario-Volcanico,Quaternary_volcanic,V_2
457999.44,2126092.34,-36.1,0.0,360.0,1.0,POINT (457999.44198249816 2126092.3354055514),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,V_2
457999.44,2126139.11,699.12,0.0,180.0,1.0,POINT (457999.441982495 2126139.1053465796),0.0,Neogeno-Volcanico,Neogene_Volcanic,V_2
457999.44,2126280.8,2711.72,6.92,180.0,1.0,POINT (457999.4419824856 2126280.798089073),0.0,Cuaternario-Volcanico,Quaternary_volcanic,V_2
457999.44,2126801.39,-1799.96,0.05,360.0,1.0,POINT (457999.4419824509 2126801.390264141),0.0,Cretacico-Calizas,Cretaceous_limestone,V_2
460949.78,2126825.08,2780.0,0.0,270.0,1.0,POINT (460949.7829659577 2126825.077348888),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
461316.64,2126825.08,2780.0,0.0,270.0,1.0,POINT (461316.64325921197 2126825.07734895),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
466695.86,2126825.08,699.12,0.0,270.0,1.0,POINT (466695.8561385239 2126825.0773498565),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
466775.61,2126825.08,-36.1,0.0,270.0,1.0,POINT (466775.611923761 2126825.0773498695),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
466880.17,2126825.08,-1000.0,0.0,270.0,1.0,POINT (466880.17468760896 2126825.077349887),0.0,Cretacico-Calizas,Cretaceous_limestone,S_7
467250.22,2126825.08,699.12,0.0,270.0,1.0,POINT (467250.2167987076 2126825.0773499496),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
467273.55,2126825.08,-1000.0,0.0,270.0,1.0,POINT (467273.54582248855 2126825.0773499534),0.0,Cretacico-Calizas,Cretaceous_limestone,S_7
467341.75,2126825.08,-36.1,0.0,270.0,1.0,POINT (467341.754231669 2126825.0773499655),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
468583.61,2126825.08,699.12,0.0,270.0,1.0,POINT (468583.6119035173 2126825.077350174),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
468623.13,2126825.08,-1000.0,0.0,270.0,1.0,POINT (468623.13320517074 2126825.077350181),0.0,Cretacico-Calizas,Cretaceous_limestone,S_7
468802.67,2126825.08,-36.1,0.0,270.0,1.0,POINT (468802.6742234166 2126825.0773502113),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
469902.43,2126825.08,699.12,0.0,270.0,1.0,POINT (469902.4301661538 2126825.0773503967),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
470024.62,2126825.08,-36.1,0.0,270.0,1.0,POINT (470024.6193923972 2126825.077350417),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
470124.84,2126825.08,699.12,0.0,270.0,1.0,POINT (470124.83969714446 2126825.077350434),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
470233.14,2126825.08,-1000.0,0.0,270.0,1.0,POINT (470233.13705817214 2126825.0773504525),0.0,Cretacico-Calizas,Cretaceous_limestone,S_7
472094.61,2126825.08,3238.77,25.03,90.0,1.0,POINT (472094.6090659495 2126825.077350766),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
472569.21,2126825.08,3017.15,25.03,90.0,1.0,POINT (472569.2099059686 2126825.0773508456),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
472673.79,2126825.08,-36.1,0.0,270.0,1.0,POINT (472673.7911763367 2126825.0773508633),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_7
472700.46,2126825.08,699.12,0.0,270.0,1.0,POINT (472700.46338821173 2126825.077350868),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_7
472797.72,2126825.08,-1000.0,0.0,270.0,1.0,POINT (472797.7153541959 2126825.0773508847),0.0,Cretacico-Calizas,Cretaceous_limestone,S_7
473431.82,2126825.08,2614.46,25.02,90.0,1.0,POINT (473431.82474507537 2126825.0773509913),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
474368.05,2126825.08,2321.38,11.31,90.0,1.0,POINT (474368.0530343733 2126825.077351149),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
461794.29,2126825.08,2849.45,14.65,270.0,1.0,POINT (461794.29263392795 2126825.0773490304),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
462222.73,2126825.08,2978.43,20.1,270.0,1.0,POINT (462222.72941021767 2126825.0773491026),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_7
