X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
574180.66,2187500.75,2481.52,11.31,90.0,1.0,POINT (574180.66 2187500.75),0.0,Cuaternario-Alv,Quaternary_alluvial,N_8
568652.03,2187500.75,2485.12,52.78,270.0,1.0,POINT (568652.03 2187500.75),0.0,Cuaternario-Volcanico,Quaternary_volcanic,N_8
582980.09,2184261.03,2955.0,83.0,156.5,1.0,POINT (582980.09 2184261.03),,,F2,V_4
582980.09,2185280.38,1683.17,2.46,360.0,1.0,POINT (582980.09 2185280.38),0.0,Neogeno-Volcanico,Neogene_Volcanic,V_4
582980.09,2185301.9,268.76,0.43,180.0,1.0,POINT (582980.09 2185301.9),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,V_4
582980.09,2186268.56,2733.0,79.0,336.45,1.0,POINT (582980.09 2186268.56),,,F1,V_4
582980.09,2186984.19,1609.84,2.46,360.0,1.0,POINT (582980.09 2186984.19),0.0,Neogeno-Volcanico,Neogene_Volcanic,V_4
553708.48,2187500.75,1363.21,0.1,90.0,1.0,POINT (553708.48 2187500.75),0.0,Neogeno-Volcanico,Neogene_Volcanic,N_8
558150.22,2187500.75,2418.13,40.64,90.0,1.0,POINT (558150.22 2187500.75),0.0,Cuaternario-Alv,Quaternary_alluvial,N_8
558276.01,2187500.75,1359.78,0.0,270.0,1.0,POINT (558276.01 2187500.75),0.0,Neogeno-Volcanico,Neogene_Volcanic,N_8
558002.16,2187500.75,166.71,0.0,270.0,1.0,POINT (558002.16 2187500.75),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,N_8
558763.73,2187500.75,2307.17,1.81,90.0,1.0,POINT (558763.73 2187500.75),0.0,Cuaternario-Alv,Quaternary_alluvial,N_8
556306.85,2187500.75,1918.89,0.0,90.0,1.0,POINT (556306.85 2187500.75),0.0,Cuaternario-Volcanico,Quaternary_volcanic,N_8
559901.57,2187500.75,-1000.0,0.0,270.0,1.0,POINT (559901.57 2187500.75),0.0,Cretacico-Calizas,Cretaceous_limestone,N_8
566443.72,2187500.75,2469.65,1.64,270.0,1.0,POINT (566443.72 2187500.75),0.0,Cuaternario-Alv,Quaternary_alluvial,N_8
560134.6,2187500.75,2408.21,42.56,270.0,1.0,POINT (560134.6 2187500.75),0.0,Cuaternario-Alv,Quaternary_alluvial,N_8
566337.56,2187500.75,2155.46,1.51,270.0,1.0,POINT (566337.56 2187500.75),0.0,Cuaternario-Volcanico,Quaternary_volcanic,N_8
562012.6,2187500.75,1590.86,0.01,90.0,1.0,POINT (562012.6 2187500.75),0.0,Neogeno-Volcanico,Neogene_Volcanic,N_8
549262.07,2187500.75,172.25,0.05,90.0,1.0,POINT (549262.07 2187500.75),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,N_8
548178.05,2189027.9,2411.02,58.58,32.11,1.0,POINT (548178.05 2189027.9),0.0,Cuaternario-Alv,Quaternary_alluvial,P8_A
548238.8,2189124.7,2343.42,3.01,32.11,1.0,POINT (548238.8 2189124.7),0.0,Cuaternario-Alv,Quaternary_alluvial,P8_A
548326.42,2189264.3,1777.14,0.93,212.11,1.0,POINT (548326.42 2189264.3),0.0,Neogeno-Volcanico,Neogene_Volcanic,P8_A
548345.36,2189294.48,2066.98,3.75,212.11,1.0,POINT (548345.36 2189294.48),0.0,Cuaternario-Volcanico,Quaternary_volcanic,P8_A
548346.41,2189296.14,2339.45,0.0,212.11,1.0,POINT (548346.41 2189296.14),0.0,Cuaternario-Alv,Quaternary_alluvial,P8_A
548496.2,2189534.8,2359.29,7.31,212.11,1.0,POINT (548496.2 2189534.8),0.0,Cuaternario-Alv,Quaternary_alluvial,P8_A
549460.52,2187500.75,1370.51,0.1,90.0,1.0,POINT (549460.52 2187500.75),0.0,Neogeno-Volcanico,Neogene_Volcanic,N_8
553393.04,2187500.75,-1000.0,0.0,270.0,1.0,POINT (553393.04 2187500.75),0.0,Cretacico-Calizas,Cretaceous_limestone,N_8
549559.63,2187500.75,1918.89,0.0,270.0,1.0,POINT (549559.63 2187500.75),0.0,Cuaternario-Volcanico,Quaternary_volcanic,N_8
553490.18,2187500.75,168.59,0.05,90.0,1.0,POINT (553490.18 2187500.75),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,N_8
549708.49,2191466.29,2093.44,6.1,32.11,1.0,POINT (549708.49 2191466.29),0.0,Cuaternario-Volcanico,Quaternary_volcanic,P8_A
553418.78,2191581.11,2499.36,12.58,101.76,1.0,POINT (553418.78 2191581.11),0.0,Neogeno-Lac,Neogene_Lac,P8_B
552539.52,2191764.13,1592.36,5.19,281.76,1.0,POINT (552539.52 2191764.13),0.0,Neogeno-Volcanico,Neogene_Volcanic,P8_B
563051.84,2189576.05,1613.22,4.28,101.76,1.0,POINT (563051.84 2189576.05),0.0,Neogeno-Volcanico,Neogene_Volcanic,P8_B
562831.31,2189621.96,180.06,0.5,101.76,1.0,POINT (562831.31 2189621.96),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,P8_B
562809.42,2189626.51,2104.76,5.52,281.76,1.0,POINT (562809.42 2189626.51),0.0,Cuaternario-Volcanico,Quaternary_volcanic,P8_B
562688.82,2189651.61,-1000.0,0.0,281.76,1.0,POINT (562688.82 2189651.61),0.0,Cretacico-Calizas,Cretaceous_limestone,P8_B
562504.14,2189690.05,1655.11,4.28,101.76,1.0,POINT (562504.14 2189690.05),0.0,Neogeno-Volcanico,Neogene_Volcanic,P8_B
