Id,Unidad,formation,name,geometry,X,Y,Z
,,NF,S_13,POINT (494032.3582375992 2150112.982194743),494032.36,2150112.98,2203.0
,,NF,S_1,POINT (495498.25867539056 2151825.0773547096),495498.26,2151825.08,2204.0
0.0,F1,F1,S_1,POINT (503968.7543423604 2151825.0773561373),503968.75,2151825.08,2222.01
0.0,F2,F2,S_1,POINT (508369.1543423552 2151825.0773568787),508369.15,2151825.08,2205.13
,,NF,N_14,POINT (500357.78879527823 2157500.7547632707),500357.79,2157500.75,2212.0
0.0,F10,F10,N_14,POINT (493713.0515502868 2157500.754763496),493713.05,2157500.75,2221.0
,,NF,N_13,POINT (504638.8021175095 2162500.754763126),504638.8,2162500.75,2225.0
0.0,F10,F10,N_13,POINT (501256.2115504537 2162500.7547632405),501256.21,2162500.75,2214.0
,,TF,S_1,POINT (478324.2337714634 2151825.0773518155),478324.23,2151825.08,2257.0
0.0,MxF,MxF,S_1,POINT (483833.75434236415 2151825.077352744),483833.75,2151825.08,2221.86
,,F10,S_1,POINT (484814.3613090582 2151825.0773529094),484814.36,2151825.08,2219.0
,,F9,S_1,POINT (485673.00976093486 2151825.077353054),485673.01,2151825.08,2217.0
0.0,F10,F10,S_13,POINT (492647.40340108937 2156838.2289855927),492647.4,2156838.23,2222.97
0.0,F9,F9,N_14,POINT (489978.6915502874 2157500.754763623),489978.69,2157500.75,2238.14
,,TF,N_14,POINT (483261.3188337333 2157500.7547638505),483261.32,2157500.75,2233.0
0.0,MxF,MxF,N_14,POINT (479921.41155028995 2157500.7547639636),479921.41,2157500.75,2242.94
0.0,F9,F9,S_13,POINT (491970.24019644584 2160126.487597972),491970.24,2160126.49,2246.21
,,TF,N_13,POINT (487610.6543435852 2162500.754763704),487610.65,2162500.75,2529.0
,,MxF,N_13,POINT (478355.9648938428 2162500.754764018),478355.96,2162500.75,2293.0
,,F6,V_1,POINT (457999.4419811074 2163367.5021577924),457999.44,2163367.5,2700.0
,,ZF,V_1,POINT (457999.4419810083 2166064.77335158),457999.44,2166064.77,2627.0
,,TF,S_13,POINT (490740.3658711109 2166098.6739404895),490740.37,2166098.67,2718.0
0.0,F6,F6,S_13,POINT (490711.3103633181 2166239.7655164665),490711.31,2166239.77,2717.24
0.0,ToF,ToF,V_1,POINT (457999.4419809938 2166460.430371373),457999.44,2166460.43,2708.97
,,TF,N_12,POINT (491959.98985343764 2167500.754763558),491959.99,2167500.75,2566.0
,,MxF,N_12,POINT (475790.42182263563 2167500.754764107),475790.42,2167500.75,2305.0
,,MxF,N_11,POINT (473224.87875143107 2172500.754764191),473224.88,2172500.75,2325.0
0.0,ToF,ToF,N_11,POINT (464610.41155079845 2172500.754764483),464610.41,2172500.75,2467.14
0.0,F9,F9,N_13,POINT (493771.7915504519 2162500.7547634947),493771.79,2162500.75,2272.86
,,F10,N_12,POINT (509307.60726226604 2167500.7547629694),509307.61,2167500.75,2292.0
0.0,NF,NF,N_12,POINT (508657.981550633 2167500.7547629913),508657.98,2167500.75,2248.16
,,F6,N_12,POINT (505072.59665282647 2167500.754763113),505072.6,2167500.75,2235.0
0.0,F9,F9,N_12,POINT (496989.4115506252 2167500.7547633876),496989.41,2167500.75,2221.92
0.0,NF,NF,N_11,POINT (513202.2115507955 2172500.754762835),513202.21,2172500.75,2294.28
,,F9,N_11,POINT (501358.0064169386 2172500.7547632367),501358.01,2172500.75,2371.0
0.0,TF,TF,N_11,POINT (496501.4115507947 2172500.754763401),496501.41,2172500.75,2222.51
,,F9,N_10,POINT (505151.10986511805 2177500.7547631087),505151.11,2177500.75,2292.0
0.0,TF,TF,N_10,POINT (500756.41155096516 2177500.7547632577),500756.41,2177500.75,2248.98
0.0,TxF,TxF,N_12,POINT (529408.81155062 2167500.754762287),529408.81,2167500.75,2811.75
0.0,TxF,TxF,N_11,POINT (532765.6415507989 2172500.7547621713),532765.64,2172500.75,2825.03
,,F10,N_11,POINT (517120.1072618451 2172500.754762702),517120.11,2172500.75,2400.0
0.0,TxF,TxF,N_10,POINT (536180.3115509748 2177500.7547620554),536180.31,2177500.75,2746.81
,,F10,N_10,POINT (524932.6072614274 2177500.754762437),524932.61,2177500.75,2354.0
0.0,NF,NF,N_10,POINT (517395.08155096695 2177500.754762693),517395.08,2177500.75,2292.77
,,F10,N_9,POINT (532745.107261009 2182500.7547621713),532745.11,2182500.75,2509.0
0.0,NF,NF,N_9,POINT (524586.4115511402 2182500.754762448),524586.41,2182500.75,2367.77
0.0,NF,NF,N_8,POINT (527769.0415513003 2187500.7547623417),527769.04,2187500.75,2401.18
0.0,NF,NF,N_7,POINT (530950.4115514737 2192500.754762233),530950.41,2192500.75,2459.98
,,ZF,N_11,POINT (464386.07438249956 2172500.7547644908),464386.07,2172500.75,2478.0
,,MxF,N_10,POINT (470659.3356802241 2177500.7547642794),470659.34,2177500.75,2311.0
0.0,ToF,ToF,N_10,POINT (470052.4115509689 2177500.7547643),470052.41,2177500.75,2316.01
,,ZF,N_10,POINT (469347.7360091682 2177500.754764324),469347.74,2177500.75,2317.0
0.0,ToF,ToF,N_9,POINT (475554.41155114025 2182500.7547641103),475554.41,2182500.75,2389.7
,,ZF,N_9,POINT (474309.3976358321 2182500.754764152),474309.4,2182500.75,2378.0
,,MxF,N_9,POINT (468093.79260901955 2182500.754764363),468093.79,2182500.75,2600.0
0.0,ToF,ToF,N_8,POINT (481027.8315513069 2187500.7547639264),481027.83,2187500.75,2244.0
,,ZF,N_8,POINT (479271.0592625011 2187500.754763986),479271.06,2187500.75,2262.0
,,MxF,N_8,POINT (465528.24953781243 2187500.754764452),465528.25,2187500.75,2300.0
,,F9,N_9,POINT (508944.21331329586 2182500.7547629783),508944.21,2182500.75,2332.0
0.0,TF,TF,N_9,POINT (504802.41155114025 2182500.7547631185),504802.41,2182500.75,2251.56
,,F9,N_8,POINT (512737.3167614764 2187500.7547628516),512737.32,2187500.75,2452.0
0.0,TF,TF,N_8,POINT (509202.9515513005 2187500.7547629713),509202.95,2187500.75,2492.41
,,F9,N_7,POINT (516530.42020965496 2192500.754762722),516530.42,2192500.75,2382.0
0.0,TF,TF,N_7,POINT (513608.4115514774 2192500.7547628214),513608.41,2192500.75,2390.7
0.0,ToF,ToF,N_6,POINT (498883.1769480584 2197500.7547633215),498883.18,2197500.75,2286.0
0.0,ToF,ToF,N_5,POINT (503468.8006684715 2202500.7547631646),503468.8,2202500.75,2347.31
0.0,ToF,ToF,N_4,POINT (507785.79947541375 2207500.7547630183),507785.8,2207500.75,2415.89
0.0,ZF,ZF,N_4,POINT (499116.7994754175 2207500.7547633126),499116.8,2207500.75,2488.31
0.0,ToF,ToF,N_7,POINT (487121.41155147366 2192500.7547637206),487121.41,2192500.75,2271.36
,,ZF,N_7,POINT (484232.72088916897 2192500.7547638183),484232.72,2192500.75,2331.0
,,MxF,N_7,POINT (462962.7064666054 2192500.7547645406),462962.71,2192500.75,2193.0
,,ZF,N_6b,POINT (491365.23691899644 2199688.3831898007),491365.24,2199688.38,2282.0
0.0,NF,NF,N_6,POINT (534132.6769480584 2197500.7547621257),534132.68,2197500.75,2421.06
,,F9,N_6,POINT (520323.52365783433 2197500.754762594),520323.52,2197500.75,2355.0
0.0,TF,TF,N_6,POINT (518015.1769480584 2197500.7547626724),518015.18,2197500.75,2337.86
,,F9,N_5,POINT (524116.6271060131 2202500.754762465),524116.63,2202500.75,2582.0
0.0,TF,TF,N_5,POINT (523143.8756684745 2202500.7547624977),523143.88,2202500.75,2601.44
,,F9,N_4,POINT (527909.7305541914 2207500.754762335),527909.73,2207500.75,2497.0
0.0,TF,TF,N_4,POINT (527047.0305664139 2207500.7547623646),527047.03,2207500.75,2397.82
,,F9,N_3,POINT (531702.8340023702 2212500.7547622067),531702.83,2212500.75,2442.0
0.0,TF,TF,N_3,POINT (531165.7982823728 2212500.754762225),531165.8,2212500.75,2398.99
,,F9,N_2,POINT (535495.9374505492 2217500.7547620777),535495.94,2217500.75,2461.0
0.0,ToF,ToF,N_3,POINT (514141.6182823805 2212500.754762802),514141.62,2212500.75,2400.02
0.0,ZF,ZF,N_3,POINT (504593.79828237277 2212500.7547631254),504593.8,2212500.75,2497.61
