Id,formation,X,Y,Z,geometry
,ATF,529860.88,2149234.91,3777.0,POINT (529860.876071538 2149234.911101247)
0.0,Neogene_Volcanic,529860.88,2149688.36,1191.36,POINT (529860.8760610917 2149688.3571426566)
0.0,Neogene_Volcanic,529860.88,2149892.85,1191.69,POINT (529860.8760563806 2149892.853189628)
,Quaternary_Pyro2,519992.0008021748,2149062.3979196027,2666.0,POINT (519992.0008021748 2149062.3979196027)
,Quaternary_Pyro2,520026.93120000046,2149456.4987000003,2653.0,POINT (520026.93120000046 2149456.4987000003)
0.0,Quaternary_Pyro2,518133.48,2151825.08,1917.58,POINT (518133.4816311877 2151825.0773585243)
0.0,Quaternary_Pyro2,518545.79,2151825.08,1921.73,POINT (518545.7858264353 2151825.0773585937)
0.0,Quaternary_Pyro2,519286.62,2151825.08,2014.33,POINT (519286.6206414383 2151825.0773587185)
0.0,Quaternary_Pyro2,520543.39,2151825.08,2001.1,POINT (520543.39398832433 2151825.0773589304)
0.0,Cretaceous_limestone,520908.9,2151825.08,-1000.0,POINT (520908.9013786974 2151825.077358992)
0.0,Paleogene_Volcanic,521095.28,2151825.08,68.81,POINT (521095.2787462982 2151825.077359023)
0.0,Cretaceous_limestone,521111.92,2151825.08,-1000.0,POINT (521111.9193988234 2151825.077359026)
0.0,Neogene_Volcanic,521276.61,2151825.08,1108.7,POINT (521276.61394334945 2151825.077359054)
,Quaternary_Pyro2,536037.25,2150270.3787,3451.0,POINT (536037.25 2150270.3787)
0.0,Quaternary_Pyro2,535823.85,2151825.08,3444.11,POINT (535823.8543423545 2151825.077361505)
0.0,Quaternary_Pyro2,536086.16,2151825.08,3178.6,POINT (536086.1622747015 2151825.0773615493)
0.0,Quaternary_Pyro2,536678.83,2151825.08,2861.1,POINT (536678.8301267046 2151825.0773616494)
0.0,Quaternary_Pyro2,537165.66,2151825.08,2691.77,POINT (537165.6644337084 2151825.0773617313)
0.0,Quaternary_Pyro2,537800.67,2151825.08,2628.27,POINT (537800.6657037046 2151825.0773618384)
,Quaternary_Pyro2,533913.9298,2153851.7941,3385.0,POINT (533913.9298 2153851.7941)
,Quaternary_Pyro2,535466.8877999997,2153983.1525,3500.0,POINT (535466.8877999997 2153983.1525)
0.0,ATF,537866.68,2157500.75,2943.06,POINT (537866.6815502858 2157500.7547619985)
0.0,Neogene_Volcanic,538700.94,2151825.08,1283.51,POINT (538700.9439133536 2151825.0773619898)
0.0,Paleogene_Volcanic,538700.94,2151825.08,107.78,POINT (538700.9439133536 2151825.0773619898)
0.0,Quaternary_Pyro2,538700.94,2151825.08,2599.64,POINT (538700.9439133536 2151825.0773619898)
0.0,Quaternary_Pyro2,538700.94,2151825.08,2599.64,POINT (538700.9439133536 2151825.0773619898)
