X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
466154.63,2151825.08,2468.3,66.54,90.0,1.0,POINT (466154.63198828325 2151825.077349765),0.0,Neogeno-Piro,Neogene_pyro,S_1
466461.2,2151825.08,427.48,0.0,270.0,1.0,POINT (466461.19978854724 2151825.0773498164),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
466546.79,2151825.08,2161.87,25.82,90.0,1.0,POINT (466546.79362370074 2151825.0773498314),0.0,Neogeno-Piro,Neogene_pyro,S_1
467213.54,2151825.08,1897.29,17.35,90.0,1.0,POINT (467213.5449572075 2151825.077349943),0.0,Neogeno-Piro,Neogene_pyro,S_1
468166.05,2151825.08,1707.37,7.8,90.0,1.0,POINT (468166.0468622297 2151825.077350104),0.0,Neogeno-Piro,Neogene_pyro,S_1
469293.57,2151825.08,-1000.0,0.0,270.0,1.0,POINT (469293.5651786945 2151825.077350294),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
471230.93,2151825.08,1623.28,0.0,270.0,1.0,POINT (471230.9284250904 2151825.0773506206),0.0,Neogeno-Piro,Neogene_pyro,S_1
475054.38,2151825.08,427.48,0.0,270.0,1.0,POINT (475054.37867080816 2151825.0773512647),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
475140.06,2151825.08,2149.52,39.2,90.0,1.0,POINT (475140.05916633457 2151825.077351279),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
475910.73,2151825.08,1623.28,0.0,270.0,1.0,POINT (475910.7300037199 2151825.077351409),0.0,Neogeno-Piro,Neogene_pyro,S_1
476017.76,2151825.08,1962.19,4.72,90.0,1.0,POINT (476017.7550156191 2151825.077351427),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
477457.21,2151825.08,1899.67,0.24,90.0,1.0,POINT (477457.20872527396 2151825.07735167),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
478427.09,2151825.08,1895.64,0.24,90.0,1.0,POINT (478427.09180646547 2151825.077351833),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
478916.72,2151825.08,2150.61,38.79,90.0,1.0,POINT (478916.71670762263 2151825.0773519157),0.0,Cuaternario-Lac,Quaternary_Lac,S_1
479978.9,2151825.08,-1000.0,0.0,270.0,1.0,POINT (479978.8960566382 2151825.0773520945),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
480416.26,2151825.08,427.48,0.0,270.0,1.0,POINT (480416.2647883605 2151825.077352168),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
482518.78,2151825.08,-1000.0,0.0,270.0,1.0,POINT (482518.77502988814 2151825.077352523),0.0,Cretacico-Calizas,Cretaceous_limestone,S_1
482728.41,2151825.08,427.48,0.0,270.0,1.0,POINT (482728.4060904988 2151825.0773525583),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
482987.46,2151825.08,-31.85,3.55,270.0,1.0,POINT (482987.45948001626 2151825.0773526016),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
483334.68,2151825.08,1623.28,0.0,270.0,1.0,POINT (483334.6776882557 2151825.07735266),0.0,Neogeno-Piro,Neogene_pyro,S_1
483402.0,2151825.08,-6.1,3.55,270.0,1.0,POINT (483401.99506877636 2151825.0773526714),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
483481.24,2151825.08,1874.61,0.24,90.0,1.0,POINT (483481.2442044386 2151825.077352685),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
483502.89,2151825.08,1123.28,0.0,270.0,1.0,POINT (483502.8855663603 2151825.0773526886),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
483518.8,2151825.08,1949.18,1.31,90.0,1.0,POINT (483518.795203649 2151825.077352691),0.0,Cuaternario-Lac,Quaternary_Lac,S_1
483673.76,2151825.08,1123.28,0.0,270.0,1.0,POINT (483673.75549296336 2151825.0773527175),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
483708.56,2151825.08,1623.28,0.0,270.0,1.0,POINT (483708.55699675664 2151825.077352723),0.0,Neogeno-Piro,Neogene_pyro,S_1
483784.28,2151825.08,1873.28,0.0,270.0,1.0,POINT (483784.2838089658 2151825.077352736),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
483845.78,2151825.08,1942.65,0.11,270.0,1.0,POINT (483845.7844045522 2151825.0773527464),0.0,Cuaternario-Lac,Quaternary_Lac,S_1
483990.44,2151825.08,-1000.0,0.0,270.0,1.0,POINT (483990.44016490015 2151825.0773527706),0.0,Cretacico-Calizas,Cretaceous_limestone,S_1
484247.32,2151825.08,1623.28,0.0,270.0,1.0,POINT (484247.3243401126 2151825.0773528134),0.0,Neogeno-Piro,Neogene_pyro,S_1
484276.07,2151825.08,48.2,3.55,270.0,1.0,POINT (484276.0717723614 2151825.077352819),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
484283.17,2151825.08,1873.28,0.0,270.0,1.0,POINT (484283.1730187603 2151825.07735282),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
484292.04,2151825.08,1123.28,0.0,270.0,1.0,POINT (484292.04388231796 2151825.0773528214),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
484311.16,2151825.08,1943.51,0.11,270.0,1.0,POINT (484311.15618892654 2151825.0773528246),0.0,Cuaternario-Lac,Quaternary_Lac,S_1
484747.14,2151825.08,1944.32,0.11,270.0,1.0,POINT (484747.1430104488 2151825.077352898),0.0,Cuaternario-Lac,Quaternary_Lac,S_1
484766.64,2151825.08,1623.28,0.0,270.0,1.0,POINT (484766.63668934617 2151825.077352901),0.0,Neogeno-Piro,Neogene_pyro,S_1
484769.08,2151825.08,1873.28,0.0,270.0,1.0,POINT (484769.0818840406 2151825.077352902),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
484878.16,2151825.08,1123.28,0.0,270.0,1.0,POINT (484878.1631994572 2151825.07735292),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
485004.19,2151825.08,89.66,0.59,270.0,1.0,POINT (485004.1903706086 2151825.0773529415),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
485255.43,2151825.08,-1000.0,0.0,270.0,1.0,POINT (485255.4307396901 2151825.077352984),0.0,Cretacico-Calizas,Cretaceous_limestone,S_1
485281.81,2151825.08,1945.31,0.11,270.0,1.0,POINT (485281.80692086916 2151825.0773529885),0.0,Cuaternario-Lac,Quaternary_Lac,S_1
485291.72,2151825.08,1873.28,0.0,270.0,1.0,POINT (485291.7243042463 2151825.0773529895),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
485326.21,2151825.08,1623.28,0.0,270.0,1.0,POINT (485326.2126023268 2151825.077352996),0.0,Neogeno-Piro,Neogene_pyro,S_1
485395.19,2151825.08,1123.28,0.0,270.0,1.0,POINT (485395.189198487 2151825.077353007),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_1
485537.12,2151825.08,95.1,0.59,270.0,1.0,POINT (485537.1163165197 2151825.0773530314),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_1
485688.1,2151825.08,-1000.0,0.0,270.0,1.0,POINT (485688.1024356677 2151825.0773530565),0.0,Cretacico-Calizas,Cretaceous_limestone,S_1
485851.46,2151825.08,1873.28,0.0,270.0,1.0,POINT (485851.4609154769 2151825.0773530845),0.0,Cuaternario-Alv,Quaternary_alluvial,S_1
485866.15,2151825.08,1946.39,0.11,270.0,1.0,POINT (485866.1486567826 2151825.0773530863),0.0,Cuaternario-Lac,Quaternary_Lac,S_1
485933.37,2151825.08,1623.28,0.0,270.0,1.0,POINT (485933.37366487697 2151825.077353098),0.0,Neogeno-Piro,Neogene_pyro,S_1
