X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
492402.54,2106588.82,2429.2,0.0,14.1,1.0,POINT (492402.54 2106588.82),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_14
492450.06,2106777.98,-1300.0,0.0,14.1,1.0,POINT (492450.06 2106777.98),0.0,Cretacico-Calizas,Cretaceous_limestone,S_14
492457.02,2106805.65,1949.64,0.0,14.1,1.0,POINT (492457.02 2106805.65),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_14
482631.54,2106825.08,2429.2,0.0,270.0,1.0,POINT (482631.54 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
479544.85,2106825.08,-1000.0,0.0,270.0,1.0,POINT (479544.85 2106825.08),0.0,Cretacico-Calizas,Cretaceous_limestone,S_11
484523.31,2106825.08,2429.2,0.0,270.0,1.0,POINT (484523.31 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
479703.23,2106825.08,2390.09,7.61,270.0,1.0,POINT (479703.23 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
480035.93,2106825.08,1467.67,4.47,270.0,1.0,POINT (480035.93 2106825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
484678.7,2106825.08,1515.28,0.0,270.0,1.0,POINT (484678.7 2106825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
479096.36,2106825.08,2276.57,13.32,270.0,1.0,POINT (479096.36 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
467498.66,2106825.08,2426.5,3.47,90.0,1.0,POINT (467498.66 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
475458.37,2106825.08,691.98,10.4,270.0,1.0,POINT (475458.37 2106825.08),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
467588.36,2106825.08,2415.74,31.38,90.0,1.0,POINT (467588.36 2106825.08),0.0,Neogeno-Piro,Neogene_pyro,S_11
475728.21,2106825.08,1324.38,8.39,270.0,1.0,POINT (475728.21 2106825.08),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
468180.26,2106825.08,2261.74,14.27,90.0,1.0,POINT (468180.26 2106825.08),0.0,Neogeno-Piro,Neogene_pyro,S_11
472639.23,2106825.08,1718.84,9.68,90.0,1.0,POINT (472639.23 2106825.08),0.0,Neogeno-Piro,Neogene_pyro,S_11
471469.86,2106825.08,1862.18,2.25,90.0,1.0,POINT (471469.86 2106825.08),0.0,Neogeno-Piro,Neogene_pyro,S_11
469315.68,2106825.08,2013.06,10.3,90.0,1.0,POINT (469315.68 2106825.08),0.0,Neogeno-Piro,Neogene_pyro,S_11
471993.94,2106825.08,2185.62,2.35,90.0,1.0,POINT (471993.94 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
476276.89,2106825.08,1763.94,3.72,270.0,1.0,POINT (476276.89 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
468962.38,2106825.08,2337.79,3.47,90.0,1.0,POINT (468962.38 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
475383.94,2106825.08,1658.68,14.0,270.0,1.0,POINT (475383.94 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
470455.64,2106825.08,1895.71,1.64,90.0,1.0,POINT (470455.64 2106825.08),0.0,Neogeno-Piro,Neogene_pyro,S_11
474069.27,2106825.08,2003.72,14.04,90.0,1.0,POINT (474069.27 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
474829.97,2106825.08,1741.36,26.22,90.0,1.0,POINT (474829.97 2106825.08),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
475122.51,2106825.08,1595.67,33.16,270.0,1.0,POINT (475122.51 2106825.08),0.0,Neogeno-Piro,Neogene_pyro,S_11
