Id,formation,X,Y,Z,geometry
0.0,Quaternary_volcanic,520544.65,2106825.08,2382.78,POINT (520544.65 2106825.08)
0.0,Neogene_Volcanic,520746.49,2106825.08,1009.68,POINT (520746.49 2106825.08)
0.0,Paleogene_Volcanic,524194.25,2106825.08,17.37,POINT (524194.25 2106825.08)
0.0,Neogene_Volcanic,524185.22,2106825.08,1033.17,POINT (524185.22 2106825.08)
0.0,Quaternary_Pyro2,524179.95,2106825.08,1626.14,POINT (524179.95 2106825.08)
0.0,Quaternary_volcanic,520295.07,2106825.08,2115.34,POINT (520295.07 2106825.08)
0.0,Quaternary_volcanic,519819.58,2106825.08,1945.41,POINT (519819.58 2106825.08)
0.0,Paleogene_Volcanic,520746.49,2106825.08,29.55,POINT (520746.49 2106825.08)
,Quaternary_volcanic,520538.2971999999,2106889.363500001,2386.0,POINT (520538.2971999999 2106889.363500001)
0.0,Paleogene_Volcanic,529860.88,2106825.08,-2.66,POINT (529860.88 2106825.08)
0.0,Quaternary_Pyro2,526620.12,2106825.08,2037.56,POINT (526620.12 2106825.08)
0.0,Quaternary_Pyro2,525700.74,2106825.08,1922.72,POINT (525700.74 2106825.08)
0.0,Quaternary_Pyro2,529199.85,2106825.08,2732.56,POINT (529199.85 2106825.08)
0.0,Quaternary_Pyro2,527482.54,2106825.08,2131.41,POINT (527482.54 2106825.08)
0.0,Quaternary_Pyro2,528555.79,2106825.08,2157.27,POINT (528555.79 2106825.08)
,Quaternary_Pyro2,529360.6368000004,2106982.5956,2737.0,POINT (529360.6368000004 2106982.5956)
,Quaternary_Pyro2,529630.5115,2107949.2146000005,2784.0,POINT (529630.5115 2107949.2146000005)
0.0,Quaternary_Pyro2,529860.88,2108035.08,2799.85,POINT (529860.88 2108035.08)
0.0,Cretaceous_limestone,529860.88,2106825.08,-1000.0,POINT (529860.88 2106825.08)
0.0,Paleogene_Volcanic,529860.88,2106825.08,-2.66,POINT (529860.88 2106825.08)
0.0,Neogene_Volcanic,529860.88,2106825.08,1071.95,POINT (529860.88 2106825.08)
0.0,Cretaceous_limestone,529860.88,2106825.08,-1000.0,POINT (529860.88 2106825.08)
0.0,Neogene_Volcanic,529860.88,2106825.08,1071.95,POINT (529860.88 2106825.08)
0.0,Neogene_Volcanic,534813.46,2106825.08,1105.78,POINT (534813.46 2106825.08)
0.0,Paleogene_Volcanic,534879.09,2106825.08,-20.39,POINT (534879.09 2106825.08)
0.0,Quaternary_Pyro2,529860.88,2108089.25,2530.45,POINT (529860.88 2108089.25)
0.0,Quaternary_Pyro2,529860.88,2108398.81,2466.95,POINT (529860.88 2108398.81)
0.0,Quaternary_Pyro2,529860.88,2108914.75,2443.14,POINT (529860.88 2108914.75)
0.0,Quaternary_Pyro2,529860.88,2109438.63,2427.27,POINT (529860.88 2109438.63)
0.0,Quaternary_Pyro2,529860.88,2110137.13,2466.95,POINT (529860.88 2110137.13)
0.0,Quaternary_Pyro2,529860.88,2110724.5,2451.08,POINT (529860.88 2110724.5)
0.0,Quaternary_Pyro2,529860.88,2110897.06,2453.77,POINT (529860.88 2110897.06)
0.0,Neogene_Volcanic,529860.88,2110938.01,1071.95,POINT (529860.88 2110938.01)
0.0,Paleogene_Volcanic,529860.88,2110969.86,-2.66,POINT (529860.88 2110969.86)
,F13,529860.88,2110989.24,2719.0,POINT (529860.88 2110989.24)
,Quaternary_Pyro2,531822.4972000001,2108765.978700001,3000.0,POINT (531822.4972000001 2108765.978700001)
,Quaternary_Pyro2,530916.1484000003,2110962.1270000003,2800.0,POINT (530916.1484000003 2110962.1270000003)
0.0,Quaternary_Pyro2,529860.88,2111232.5,2459.02,POINT (529860.88 2111232.5)
0.0,Quaternary_Pyro2,529860.88,2111432.21,2476.53,POINT (529860.88 2111432.21)
0.0,Neogene_Volcanic,529860.88,2111473.99,1071.95,POINT (529860.88 2111473.99)
0.0,Paleogene_Volcanic,529860.88,2111505.95,-2.66,POINT (529860.88 2111505.95)
,F12,529860.88,2111525.28,2711.0,POINT (529860.88 2111525.28)
0.0,Cretaceous_limestone,529860.88,2111555.31,-1662.23,POINT (529860.88 2111555.31)
0.0,Quaternary_Pyro2,529860.88,2111631.78,2494.04,POINT (529860.88 2111631.78)
0.0,Neogene_Volcanic,529860.88,2111674.08,1071.95,POINT (529860.88 2111674.08)
,Quaternary_volcanic,522698.3128000004,2109485.5056,2481.0,POINT (522698.3128000004 2109485.5056)
,Quaternary_alluvial,522698.3128000004,2109485.5056,2481.0,POINT (522698.3128000004 2109485.5056)
0.0,Paleogene_Volcanic,524194.25,2111825.08,17.37,POINT (524194.25 2111825.08)
0.0,Paleogene_Volcanic,524385.14,2111825.08,16.69,POINT (524385.14 2111825.08)
0.0,Quaternary_Pyro2,524179.95,2111825.08,1626.14,POINT (524179.95 2111825.08)
0.0,Neogene_Volcanic,524120.16,2111825.08,1034.14,POINT (524120.16 2111825.08)
0.0,Paleogene_Volcanic,524385.14,2111825.08,16.69,POINT (524385.14 2111825.08)
0.0,Quaternary_Pyro2,524452.44,2111825.08,1687.98,POINT (524452.44 2111825.08)
0.0,Quaternary_volcanic,524069.08,2111825.08,1974.28,POINT (524069.08 2111825.08)
0.0,Paleogene_Volcanic,523834.6,2111825.08,30.81,POINT (523834.6 2111825.08)
0.0,Cretaceous_limestone,529860.88,2111016.81,-1586.84,POINT (529860.88 2111016.81)
0.0,Quaternary_Pyro2,529860.88,2111097.05,2456.9,POINT (529860.88 2111097.05)
0.0,Neogene_Volcanic,529860.88,2111138.1,1071.95,POINT (529860.88 2111138.1)
0.0,Paleogene_Volcanic,529860.88,2111169.95,-2.66,POINT (529860.88 2111169.95)
0.0,Cretaceous_limestone,529860.88,2111217.73,-1614.97,POINT (529860.88 2111217.73)
,Quaternary_alluvial,526116.8573000003,2111407.034499999,2531.0,POINT (526116.8573000003 2111407.034499999)
0.0,Quaternary_Pyro2,528555.79,2111825.08,2157.27,POINT (528555.79 2111825.08)
0.0,Quaternary_Pyro2,525281.56,2111825.08,1876.15,POINT (525281.56 2111825.08)
0.0,Quaternary_alluvial,525842.38,2111825.08,2510.86,POINT (525842.38 2111825.08)
0.0,Quaternary_Pyro2,526323.36,2111825.08,1991.9,POINT (526323.36 2111825.08)
0.0,Quaternary_Pyro2,529860.88,2111684.94,2498.7,POINT (529860.88 2111684.94)
0.0,Paleogene_Volcanic,529860.88,2111706.04,-2.66,POINT (529860.88 2111706.04)
0.0,Cretaceous_limestone,529860.88,2111756.24,-1690.36,POINT (529860.88 2111756.24)
0.0,Cretaceous_limestone,529860.88,2111825.08,-1700.0,POINT (529860.88 2111825.08)
0.0,Cretaceous_limestone,529860.88,2111825.08,-1700.0,POINT (529860.88 2111825.08)
0.0,Quaternary_Pyro2,530438.65,2111825.08,2779.98,POINT (530438.65 2111825.08)
0.0,Neogene_Volcanic,529860.88,2111825.08,1071.95,POINT (529860.88 2111825.08)
0.0,Paleogene_Volcanic,529860.88,2111825.08,-2.66,POINT (529860.88 2111825.08)
0.0,Quaternary_alluvial,523766.16,2111825.08,2293.53,POINT (523766.16 2111825.08)
0.0,Quaternary_alluvial,524188.54,2111825.08,2288.04,POINT (524188.54 2111825.08)
0.0,Paleogene_Volcanic,523614.43,2111825.08,39.04,POINT (523614.43 2111825.08)
0.0,Quaternary_alluvial,523442.37,2111825.08,2296.97,POINT (523442.37 2111825.08)
0.0,Quaternary_alluvial,522771.32,2111825.08,2304.11,POINT (522771.32 2111825.08)
0.0,Quaternary_Pyro2,520639.93,2111825.08,1699.17,POINT (520639.93 2111825.08)
0.0,Cretaceous_limestone,522730.63,2111825.08,-1700.0,POINT (522730.63 2111825.08)
0.0,Quaternary_volcanic,522710.01,2111825.08,2011.75,POINT (522710.01 2111825.08)
