Id,Unidad,formation,name,geometry,X,Y,Z
,,F13,V_5,POINT (529860.8769526208 2110989.241075286),529860.88,2110989.24,2719.0
,,F12,V_5,POINT (529860.8769402718 2111525.283921785),529860.88,2111525.28,2711.0
,,F12,S_10,POINT (524974.2439026424 2111825.077359677),524974.24,2111825.08,2494.0
,,F11,V_5,POINT (529860.8767475215 2119892.107960924),529860.88,2119892.11,3000.0
,,XoF,S_8,POINT (533254.0922781219 2121825.077361072),533254.09,2121825.08,3700.0
,,XoF,V_5,POINT (529860.8766993472 2121983.23571432),529860.88,2121983.24,3200.0
,,XiF,V_5,POINT (529860.8766095376 2125881.648990948),529860.88,2125881.65,3300.0
0.0,XiF,XiF,S_14,POINT (497357.22576662875 2126309.458923679),497357.23,2126309.46,2543.07
0.0,F13,F13,S_14,POINT (493535.8098415394 2111099.466825799),493535.81,2111099.47,3130.11
,,F13,V_2,POINT (457999.4419834901 2111207.2903265418),457999.44,2111207.29,2862.0
0.0,F12,F12,S_14,POINT (494192.57572642586 2113713.5251002973),494192.58,2113713.53,3148.22
,,F12,V_2,POINT (457999.44198317506 2115933.9609130197),457999.44,2115933.96,2853.0
,,F11,V_2,POINT (457999.4419830388 2117979.4461991414),457999.44,2117979.45,2855.0
0.0,F11,F11,S_14,POINT (495515.2329673434 2118977.962831474),495515.23,2118977.96,2814.5
0.0,XoF,XoF,S_14,POINT (496659.09920155857 2123530.7769518155),496659.1,2123530.78,2438.51
,,XoF,V_2,POINT (457999.44198254874 2125332.709366373),457999.44,2125332.71,2895.0
,,XiF,V_2,POINT (457999.44198244915 2126827.4825825673),457999.44,2126827.48,2858.0
