Id,formation,X,Y,Z,geometry
0.0,Paleogene_Volcanic,529860.88,2106825.08,-2.66,POINT (529860.8770485526 2106825.0773604997)
0.0,Cretaceous_limestone,529860.88,2106825.08,-1000.0,POINT (529860.8770485526 2106825.0773604997)
0.0,Cretaceous_limestone,529860.88,2106825.08,-1000.0,POINT (529860.8770485526 2106825.0773604997)
0.0,Paleogene_Volcanic,529860.88,2106825.08,-2.66,POINT (529860.8770485526 2106825.0773604997)
0.0,Neogene_Volcanic,529860.88,2106825.08,1071.95,POINT (529860.8770485526 2106825.0773604997)
0.0,Neogene_Volcanic,529860.88,2106825.08,1071.95,POINT (529860.8770485526 2106825.0773604997)
0.0,Neogene_Volcanic,534813.46,2106825.08,1105.78,POINT (534813.4634712583 2106825.0773613346)
0.0,Paleogene_Volcanic,534879.09,2106825.08,-20.39,POINT (534879.0869370422 2106825.0773613458)
0.0,Cretaceous_limestone,539131.67,2106825.08,-1000.0,POINT (539131.6684283672 2106825.0773620624)
0.0,Paleogene_Volcanic,539131.67,2106825.08,-35.42,POINT (539131.6684283188 2106825.0773620624)
0.0,Neogene_Volcanic,539131.67,2106825.08,1135.28,POINT (539131.6684283263 2106825.0773620624)
0.0,Quaternary_Pyro2,529860.88,2108035.08,2799.85,POINT (529860.8770206773 2108035.0773604997)
0.0,Quaternary_Pyro2,529860.88,2108089.25,2530.45,POINT (529860.8770194293 2108089.24734116)
0.0,Quaternary_Pyro2,529860.88,2108398.81,2466.95,POINT (529860.8770122977 2108398.810460286)
,Quaternary_Pyro2,531822.4972000001,2108765.978700001,3000.0,POINT (531822.4972000001 2108765.978700001)
0.0,Quaternary_Pyro2,529860.88,2108914.75,2443.14,POINT (529860.8770004119 2108914.748992163)
0.0,Quaternary_Pyro2,529860.88,2109438.63,2427.27,POINT (529860.8769883431 2109438.6250399156)
,Quaternary_Pyro2,526920.5928523071,2104584.5583932013,2549.0,POINT (526920.5928523071 2104584.5583932013)
0.0,Quaternary_Pyro2,525700.74,2106825.08,1922.72,POINT (525700.7362508981 2106825.0773597993)
0.0,Quaternary_Pyro2,526620.12,2106825.08,2037.56,POINT (526620.1246323979 2106825.077359954)
0.0,Quaternary_Pyro2,527482.54,2106825.08,2131.41,POINT (527482.5372433609 2106825.077360099)
0.0,Quaternary_Pyro2,528555.79,2106825.08,2157.27,POINT (528555.7894220112 2106825.0773602803)
0.0,Quaternary_Pyro2,529199.85,2106825.08,2732.56,POINT (529199.8543499357 2106825.077360389)
