X,Y,Z,dip,azimuth,polarity,geometry,Id,Unidad,formation,name
536972.57,2106825.08,1120.53,0.39,270.0,1.0,POINT (536972.5659497923 2106825.0773616983),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
537005.38,2106825.08,-27.91,0.2,90.0,1.0,POINT (537005.3776826805 2106825.077361704),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
529860.88,2108062.16,2665.15,78.63,360.0,1.0,POINT (529860.8770200533 2108062.1623508297),0.0,,Quaternary_Pyro2,V_5
529860.88,2108244.03,2498.7,11.59,360.0,1.0,POINT (529860.8770158635 2108244.028900723),0.0,,Quaternary_Pyro2,V_5
529860.88,2108656.78,2455.05,2.64,360.0,1.0,POINT (529860.8770063547 2108656.779726225),0.0,,Quaternary_Pyro2,V_5
529860.88,2108881.54,1071.95,0.0,360.0,1.0,POINT (529860.8770011768 2108881.543660459),0.0,,Neogene_Volcanic,V_5
529860.88,2108897.47,-2.66,0.0,360.0,1.0,POINT (529860.87700081 2108897.467393739),0.0,,Paleogene_Volcanic,V_5
509064.71,2106825.08,2166.0,2.5,90.0,1.0,POINT (509064.7136945951 2106825.077356996),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
511888.69,2106825.08,1479.66,3.04,90.0,1.0,POINT (511888.68784851424 2106825.077357472),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
511888.69,2106825.08,772.41,4.79,90.0,1.0,POINT (511888.68784851424 2106825.077357472),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
514224.81,2106825.08,1856.58,3.94,90.0,1.0,POINT (514224.8074075862 2106825.0773578654),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
517756.31,2106825.08,1626.14,0.0,270.0,1.0,POINT (517756.3128777522 2106825.0773584605),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
518696.76,2106825.08,1785.78,8.09,270.0,1.0,POINT (518696.7601551547 2106825.077358619),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
520057.32,2106825.08,2030.38,19.67,270.0,1.0,POINT (520057.32464418217 2106825.0773588484),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
520419.86,2106825.08,2249.06,46.98,270.0,1.0,POINT (520419.86317004665 2106825.0773589094),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_11
520963.26,2106825.08,-1000.0,0.0,270.0,1.0,POINT (520963.2613891496 2106825.077359001),0.0,Cretacico-Calizas,Cretaceous_limestone,S_11
521059.31,2106825.08,1626.14,0.0,270.0,1.0,POINT (521059.31439742475 2106825.077359017),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
522465.86,2106825.08,1021.42,0.39,270.0,1.0,POINT (522465.85563303 2106825.077359254),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
522470.37,2106825.08,23.46,0.2,90.0,1.0,POINT (522470.3703157439 2106825.077359255),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
524940.34,2106825.08,1774.43,11.04,270.0,1.0,POINT (524940.3411511669 2106825.077359671),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
526160.43,2106825.08,1980.14,7.12,270.0,1.0,POINT (526160.430441648 2106825.0773598766),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
527051.33,2106825.08,2084.48,6.21,270.0,1.0,POINT (527051.3309378794 2106825.0773600265),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
528019.16,2106825.08,2144.34,1.38,270.0,1.0,POINT (528019.1633326861 2106825.0773601895),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
528877.82,2106825.08,2444.91,41.77,270.0,1.0,POINT (528877.8218859734 2106825.077360335),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_11
529499.34,2106825.08,1069.48,0.39,270.0,1.0,POINT (529499.3401936872 2106825.077360439),0.0,Neogeno-Volcanico,Neogene_Volcanic,S_11
529536.67,2106825.08,-1.51,0.2,90.0,1.0,POINT (529536.6666092931 2106825.0773604456),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_11
522409.94,2111825.08,1662.66,1.18,90.0,1.0,POINT (522409.9374071617 2111825.077359244),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
529860.88,2108920.94,-1293.42,7.97,360.0,1.0,POINT (529860.8770002692 2108920.9421385922),0.0,,Cretaceous_limestone,V_5
529860.88,2109176.69,2435.2,1.74,360.0,1.0,POINT (529860.8769943775 2109176.687016039),0.0,,Quaternary_Pyro2,V_5
529860.88,2109787.88,2447.11,3.25,180.0,1.0,POINT (529860.8769802973 2109787.875738417),0.0,,Quaternary_Pyro2,V_5
529860.88,2110430.81,2459.02,1.55,360.0,1.0,POINT (529860.8769654856 2110430.8145242943),0.0,,Quaternary_Pyro2,V_5
529860.88,2110810.78,2452.43,0.9,180.0,1.0,POINT (529860.8769567322 2110810.780056652),0.0,,Quaternary_Pyro2,V_5
529860.88,2110989.24,2719.0,86.0,0.17,1.0,POINT (529860.88 2110989.24),,,F13,V_5
529860.88,2111164.78,2457.96,0.9,180.0,1.0,POINT (529860.8769485769 2111164.7781650894),0.0,,Quaternary_Pyro2,V_5
529860.88,2111306.04,1071.95,0.0,360.0,1.0,POINT (529860.8769453225 2111306.04346098),0.0,,Neogene_Volcanic,V_5
529860.88,2111332.36,2467.78,5.01,180.0,1.0,POINT (529860.8769447163 2111332.3584536538),0.0,,Quaternary_Pyro2,V_5
529860.88,2111337.95,-2.66,0.0,360.0,1.0,POINT (529860.8769445876 2111337.9478843836),0.0,,Paleogene_Volcanic,V_5
529860.88,2111386.52,-1638.6,7.97,360.0,1.0,POINT (529860.8769434686 2111386.519308937),0.0,,Cretaceous_limestone,V_5
529860.88,2111525.28,2711.0,86.0,3.51,1.0,POINT (529860.88 2111525.28),,,F12,V_5
529860.88,2111658.36,2496.37,5.01,180.0,1.0,POINT (529860.876937206 2111658.361542277),0.0,,Quaternary_Pyro2,V_5
529860.88,2111749.58,1071.95,0.0,360.0,1.0,POINT (529860.8769351046 2111749.5774756055),0.0,,Neogene_Volcanic,V_5
529860.88,2111765.56,-2.66,0.0,360.0,1.0,POINT (529860.8769347365 2111765.558165729),0.0,,Paleogene_Volcanic,V_5
529860.88,2111790.66,-1695.18,7.97,360.0,1.0,POINT (529860.8769341584 2111790.6563438866),0.0,,Cretaceous_limestone,V_5
530133.88,2111825.08,2625.72,26.85,270.0,1.0,POINT (530133.8763883706 2111825.077360546),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
531692.32,2111825.08,-1700.0,0.0,270.0,1.0,POINT (531692.3244766935 2111825.077360809),0.0,Cretacico-Calizas,Cretaceous_limestone,S_10
536972.57,2111825.08,1120.53,0.39,270.0,1.0,POINT (536972.5659489498 2111825.0773616983),0.0,Neogeno_Volcanico,Neogene_Volcanic,S_10
537005.38,2111825.08,-27.91,0.2,90.0,1.0,POINT (537005.377681838 2111825.077361704),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_10
507828.2,2111825.08,1228.95,0.0,270.0,1.0,POINT (507828.2014729247 2111825.0773567874),0.0,Neogeno_Volcanico,Neogene_Volcanic,S_10
508888.98,2111825.08,2250.06,0.53,90.0,1.0,POINT (508888.9763380509 2111825.077356966),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
511593.97,2111825.08,1885.79,1.18,90.0,1.0,POINT (511593.9702545811 2111825.077357422),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
512059.2,2111825.08,2217.56,1.11,90.0,1.0,POINT (512059.2016124312 2111825.077357501),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
512762.74,2111825.08,-1700.0,0.0,270.0,1.0,POINT (512762.74425356113 2111825.077357619),0.0,Cretacico-Calizas,Cretaceous_limestone,S_10
513409.12,2111825.08,2191.47,1.11,90.0,1.0,POINT (513409.12122233177 2111825.077357728),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
516357.09,2111825.08,1787.53,1.18,90.0,1.0,POINT (516357.090147331 2111825.0773582244),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
517367.59,2111825.08,272.51,2.14,90.0,1.0,POINT (517367.58727196243 2111825.077358395),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_10
517618.61,2111825.08,1131.55,0.86,90.0,1.0,POINT (517618.6147830627 2111825.0773584372),0.0,Neogeno_Volcanico,Neogene_Volcanic,S_10
518583.04,2111825.08,2091.49,1.11,90.0,1.0,POINT (518583.04107323254 2111825.0773585998),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
522658.18,2111825.08,2395.13,38.82,90.0,1.0,POINT (522658.1845381629 2111825.0773592866),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
523106.85,2111825.08,2300.54,0.61,90.0,1.0,POINT (523106.84637491556 2111825.077359362),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
523389.54,2111825.08,1993.01,1.58,90.0,1.0,POINT (523389.5434428394 2111825.0773594095),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
523604.26,2111825.08,2295.25,0.61,90.0,1.0,POINT (523604.2640364241 2111825.077359446),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
523603.98,2111825.08,-1700.0,0.0,270.0,1.0,POINT (523603.9803499612 2111825.077359446),0.0,Cretacico-Calizas,Cretaceous_limestone,S_10
523977.35,2111825.08,2290.78,0.74,90.0,1.0,POINT (523977.35110562446 2111825.0773595087),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524014.42,2111825.08,24.09,2.14,90.0,1.0,POINT (524014.42082097253 2111825.0773595152),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_10
524289.69,2111825.08,17.03,0.2,90.0,1.0,POINT (524289.6919746834 2111825.077359562),0.0,Paleogeno-Volcanico,Paleogene_Volcanic,S_10
524316.2,2111825.08,1657.06,12.79,270.0,1.0,POINT (524316.1951909509 2111825.0773595655),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
524371.31,2111825.08,2048.66,13.83,270.0,1.0,POINT (524371.3137376332 2111825.077359575),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
524384.81,2111825.08,2285.49,0.74,90.0,1.0,POINT (524384.8102538787 2111825.0773595776),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524666.54,2111825.08,2280.19,1.85,90.0,1.0,POINT (524666.5430732005 2111825.077359625),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
524872.82,2111825.08,1783.39,12.79,270.0,1.0,POINT (524872.8235744799 2111825.0773596596),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
524988.47,2111825.08,2200.55,13.83,270.0,1.0,POINT (524988.4651985527 2111825.077359679),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
524995.23,2111825.08,2269.58,1.85,90.0,1.0,POINT (524995.2344385451 2111825.07735968),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
525127.49,2111825.08,2265.32,1.85,90.0,1.0,POINT (525127.4899854953 2111825.0773597024),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
525142.11,2111825.08,2238.36,13.83,270.0,1.0,POINT (525142.1055743503 2111825.077359705),0.0,Cuaternario-Volcanico,Quaternary_volcanic,S_10
525160.59,2111825.08,1848.69,12.79,270.0,1.0,POINT (525160.5862951751 2111825.077359708),0.0,Cuaternario-Piro2,Quaternary_Pyro2,S_10
525448.91,2111825.08,2293.53,8.53,270.0,1.0,POINT (525448.9134157446 2111825.0773597565),0.0,Cuaternario-Alv,Quaternary_alluvial,S_10
